
============================================================
Running Example: arctan
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: None (constant LR=1.0e-03)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  77/100 | Steps:  77000 | α=1e-01 | Loss: 5.6410e-04 | BC: 1.1506e-04 | PDE: 4.4904e-03 | Val: 5.4762e-06 | Test: 2.0485e-06 | 
Epoch  78/100 | Steps:  78000 | α=1e-01 | Loss: 5.1621e-04 | BC: 1.5172e-04 | PDE: 3.6449e-03 | Val: 8.0945e-05 | Test: 7.4615e-05 | 
Epoch  79/100 | Steps:  79000 | α=1e-01 | Loss: 7.3596e-04 | BC: 1.7911e-04 | PDE: 5.5685e-03 | Val: 7.4721e-05 | Test: 8.7091e-05 | 
Epoch  80/100 | Steps:  80000 | α=1e-01 | Loss: 3.8960e-04 | BC: 9.3203e-05 | PDE: 2.9640e-03 | Val: 7.6302e-05 | Test: 9.2069e-05 | 
Epoch  81/100 | Steps:  81000 | α=1e-01 | Loss: 8.3650e-04 | BC: 2.3039e-04 | PDE: 6.0611e-03 | Val: 1.3661e-05 | Test: 7.8273e-06 | 
Epoch  82/100 | Steps:  82000 | α=1e-01 | Loss: 6.3967e-04 | BC: 1.4497e-04 | PDE: 4.9470e-03 | Val: 4.7940e-04 | Test: 2.5532e-04 | 
Epoch  83/100 | Steps:  83000 | α=1e-01 | Loss: 5.8705e-04 | BC: 1.4164e-04 | PDE: 4.4541e-03 | Val: 2.1181e-05 | Test: 1.8009e-05 | 
Epoch  84/100 | Steps:  84000 | α=1e-01 | Loss: 6.4099e-04 | BC: 1.8894e-04 | PDE: 4.5205e-03 | Val: 1.0687e-05 | Test: 1.0485e-05 | 
Epoch  85/100 | Steps:  85000 | α=1e-01 | Loss: 6.8872e-04 | BC: 1.7140e-04 | PDE: 5.1732e-03 | Val: 3.8532e-06 | Test: 1.5909e-06 | 
Epoch  86/100 | Steps:  86000 | α=1e-01 | Loss: 4.1736e-04 | BC: 8.4780e-05 | PDE: 3.3258e-03 | Val: 6.4373e-06 | Test: 2.7139e-06 | 
Epoch  87/100 | Steps:  87000 | α=1e-01 | Loss: 6.6825e-04 | BC: 2.5263e-04 | PDE: 4.1562e-03 | Val: 1.2365e-05 | Test: 2.6389e-06 | 
Epoch  88/100 | Steps:  88000 | α=1e-01 | Loss: 4.3892e-04 | BC: 8.8989e-05 | PDE: 3.4993e-03 | Val: 7.3885e-06 | Test: 5.1417e-06 | 
Epoch  89/100 | Steps:  89000 | α=1e-01 | Loss: 4.7154e-04 | BC: 1.2714e-04 | PDE: 3.4440e-03 | Val: 1.2546e-05 | Test: 7.5099e-06 | 
Epoch  90/100 | Steps:  90000 | α=1e-01 | Loss: 5.9505e-04 | BC: 1.5497e-04 | PDE: 4.4007e-03 | Val: 3.6485e-05 | Test: 4.7081e-05 | 
Epoch  91/100 | Steps:  91000 | α=1e-01 | Loss: 5.7538e-04 | BC: 1.2884e-04 | PDE: 4.4655e-03 | Val: 1.6557e-05 | Test: 2.5489e-05 | 
Epoch  92/100 | Steps:  92000 | α=1e-01 | Loss: 9.9256e-04 | BC: 3.2654e-04 | PDE: 6.6602e-03 | Val: 4.1662e-04 | Test: 4.3723e-04 | 
Epoch  93/100 | Steps:  93000 | α=1e-01 | Loss: 3.0136e-04 | BC: 7.1925e-05 | PDE: 2.2944e-03 | Val: 6.8486e-05 | Test: 6.3398e-05 | 
Epoch  94/100 | Steps:  94000 | α=1e-01 | Loss: 5.4957e-04 | BC: 1.5827e-04 | PDE: 3.9130e-03 | Val: 6.3284e-05 | Test: 4.3077e-05 | 
Epoch  95/100 | Steps:  95000 | α=1e-01 | Loss: 7.2687e-04 | BC: 2.4528e-04 | PDE: 4.8158e-03 | Val: 2.1492e-05 | Test: 6.1033e-06 | 
Epoch  96/100 | Steps:  96000 | α=1e-01 | Loss: 3.9348e-04 | BC: 1.0567e-04 | PDE: 2.8781e-03 | Val: 1.9687e-05 | Test: 1.0550e-05 | 
Epoch  97/100 | Steps:  97000 | α=1e-01 | Loss: 5.5638e-04 | BC: 1.5091e-04 | PDE: 4.0547e-03 | Val: 1.7944e-05 | Test: 8.4199e-06 | 
Epoch  98/100 | Steps:  98000 | α=1e-01 | Loss: 3.7087e-04 | BC: 8.2415e-05 | PDE: 2.8846e-03 | Val: 5.2550e-05 | Test: 4.4938e-05 | 
Epoch  99/100 | Steps:  99000 | α=1e-01 | Loss: 5.8705e-04 | BC: 2.3554e-04 | PDE: 3.5150e-03 | Val: 8.4702e-05 | Test: 7.3517e-05 | 
Epoch 100/100 | Steps: 100000 | α=1e-01 | Loss: 9.1565e-04 | BC: 3.1906e-04 | PDE: 5.9659e-03 | Val: 1.0899e-05 | Test: 9.7020e-06 | 

Restored best model from epoch 51 (val_loss: 3.8454e-06, test_loss: 3.2192e-06)
Best checkpoint saved to: outputs/expr_6_2/arctan/nosched/checkpoints/best_model.pt
Final checkpoint saved to: outputs/expr_6_2/arctan/nosched/checkpoints/final_model.pt
Training completed in 1120.70s (100,000 total steps)

Final Test MSE: 9.7020e-06
Inference (per point): 7.7350e-05s | (full domain): 7.5374e-05s
Saved plot to outputs/expr_6_2/arctan/nosched/plots/results.png
