
============================================================
Running Example: absolute
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: DomainDecompositionPINN
  Hidden layers: [16, 16, 16, 16]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 3,524

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  75/100 | Steps:  75000 | α=1e-01 | Loss: 8.0177e-06 | BC: 3.1109e-06 | PDE: 1.5363e-05 | Intf: 3.3705e-06 | Val: 2.3225e-06 | Test: 1.0508e-05 | LR=1.7e-04
Epoch  76/100 | Steps:  76000 | α=1e-01 | Loss: 7.0936e-06 | BC: 2.7119e-06 | PDE: 1.4941e-05 | Intf: 2.8876e-06 | Val: 7.0078e-06 | Test: 1.4250e-05 | LR=1.5e-04
Epoch  77/100 | Steps:  77000 | α=1e-01 | Loss: 7.3524e-06 | BC: 2.8553e-06 | PDE: 1.4060e-05 | Intf: 3.0911e-06 | Val: 4.8411e-06 | Test: 1.2335e-05 | LR=1.4e-04
Epoch  78/100 | Steps:  78000 | α=1e-01 | Loss: 5.1484e-06 | BC: 1.9220e-06 | PDE: 1.3152e-05 | Intf: 1.9112e-06 | Val: 5.4407e-06 | Test: 1.3431e-05 | LR=1.3e-04
Epoch  79/100 | Steps:  79000 | α=1e-01 | Loss: 5.3236e-06 | BC: 1.9626e-06 | PDE: 1.2571e-05 | Intf: 2.1038e-06 | Val: 1.5248e-06 | Test: 9.9141e-06 | LR=1.2e-04
Epoch  80/100 | Steps:  80000 | α=1e-01 | Loss: 4.6040e-06 | BC: 1.7179e-06 | PDE: 1.2127e-05 | Intf: 1.6734e-06 | Val: 1.7286e-06 | Test: 9.4717e-06 | LR=1.1e-04
Epoch  81/100 | Steps:  81000 | α=1e-01 | Loss: 3.8794e-06 | BC: 1.4008e-06 | PDE: 1.1476e-05 | Intf: 1.3310e-06 | Val: 2.8385e-06 | Test: 1.0146e-05 | LR=1.0e-04
Epoch  82/100 | Steps:  82000 | α=1e-01 | Loss: 3.0485e-06 | BC: 1.0592e-06 | PDE: 1.0880e-05 | Intf: 9.0121e-07 | Val: 1.2126e-06 | Test: 8.4115e-06 | LR=9.6e-05
Epoch  83/100 | Steps:  83000 | α=1e-01 | Loss: 3.0000e-06 | BC: 1.0492e-06 | PDE: 1.0285e-05 | Intf: 9.2232e-07 | Val: 3.3056e-06 | Test: 1.0710e-05 | LR=8.7e-05
Epoch  84/100 | Steps:  84000 | α=1e-01 | Loss: 2.6512e-06 | BC: 9.0705e-07 | PDE: 9.7057e-06 | Intf: 7.7353e-07 | Val: 8.0953e-06 | Test: 1.5132e-05 | LR=7.9e-05
Epoch  85/100 | Steps:  85000 | α=1e-01 | Loss: 2.7066e-06 | BC: 9.4688e-07 | PDE: 9.2995e-06 | Intf: 8.2973e-07 | Val: 3.8081e-07 | Test: 7.3879e-06 | LR=7.1e-05 *
