
============================================================
Running Example: aronsson_square
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: FixedAlphaSchedule
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  84/100 | Steps:  84000 | α=0e+00 | Loss: 2.6064e-07 | BC: 2.6064e-07 | PDE: 2.6915e+01 | Val: 2.0081e-07 | Test: 4.8235e-02 | LR=7.9e-05 *
Epoch  85/100 | Steps:  85000 | α=0e+00 | Loss: 2.3488e-07 | BC: 2.3488e-07 | PDE: 2.6954e+01 | Val: 1.7624e-07 | Test: 4.8262e-02 | LR=7.1e-05 *
Epoch  86/100 | Steps:  86000 | α=0e+00 | Loss: 2.1333e-07 | BC: 2.1333e-07 | PDE: 2.6881e+01 | Val: 2.5322e-07 | Test: 4.8244e-02 | LR=6.4e-05
Epoch  87/100 | Steps:  87000 | α=0e+00 | Loss: 2.0067e-07 | BC: 2.0067e-07 | PDE: 2.6885e+01 | Val: 2.5554e-07 | Test: 4.8273e-02 | LR=5.7e-05
Epoch  88/100 | Steps:  88000 | α=0e+00 | Loss: 1.9033e-07 | BC: 1.9033e-07 | PDE: 2.6862e+01 | Val: 2.2019e-07 | Test: 4.8200e-02 | LR=5.1e-05
Epoch  89/100 | Steps:  89000 | α=0e+00 | Loss: 1.8120e-07 | BC: 1.8120e-07 | PDE: 2.6863e+01 | Val: 3.0616e-07 | Test: 4.8181e-02 | LR=4.5e-05
Epoch  90/100 | Steps:  90000 | α=0e+00 | Loss: 1.6139e-07 | BC: 1.6139e-07 | PDE: 2.6879e+01 | Val: 1.5902e-07 | Test: 4.8158e-02 | LR=3.9e-05 *
Epoch  91/100 | Steps:  91000 | α=0e+00 | Loss: 1.5171e-07 | BC: 1.5171e-07 | PDE: 2.6804e+01 | Val: 1.4937e-07 | Test: 4.8176e-02 | LR=3.4e-05 *
Epoch  92/100 | Steps:  92000 | α=0e+00 | Loss: 1.4739e-07 | BC: 1.4739e-07 | PDE: 2.6802e+01 | Val: 1.4361e-07 | Test: 4.8137e-02 | LR=3.0e-05 *
Epoch  93/100 | Steps:  93000 | α=0e+00 | Loss: 1.4091e-07 | BC: 1.4091e-07 | PDE: 2.6769e+01 | Val: 1.5497e-07 | Test: 4.8127e-02 | LR=2.6e-05
