p,is_training_p,mse_exact,relative_l2_exact,max_abs_exact,boundary_mse,mse_limit,exact_to_limit_mse
168.0,0,9.378944554327973e-08,0.0007547226850874722,0.018090784549713135,1.4745300802587735e-07,7.58755004426348e-06,7.519354767282493e-06
169.0,0,9.384085331021197e-08,0.0007548996945843101,0.01809871196746826,1.4726006725140905e-07,7.49700211599702e-06,7.4304321060481016e-06
170.0,1,9.389298583073469e-08,0.0007550798472948372,0.018106579780578613,1.4706569118061452e-07,7.407845714624273e-06,7.343023753492162e-06
171.0,0,9.394851474553434e-08,0.0007552739116363227,0.01811450719833374,1.4685706162254064e-07,7.319863925658865e-06,7.257161541929236e-06
172.0,0,9.400692846384118e-08,0.0007554799085482955,0.018122494220733643,1.4662757052974484e-07,7.233318228827557e-06,7.172936875576852e-06
173.0,0,9.406531376043858e-08,0.0007556860218755901,0.01813030242919922,1.4639645939951151e-07,7.147854375944007e-06,7.090051440172829e-06
174.0,0,9.412654833340639e-08,0.0007559037767350674,0.01813828945159912,1.461453678075486e-07,7.064344117679866e-06,7.008659849816468e-06
175.0,1,9.419306934432825e-08,0.0007561429520137608,0.018146097660064697,1.4589967634037748e-07,6.981107162573608e-06,6.928712082299171e-06
176.0,0,9.426152303149138e-08,0.0007563901017419994,0.018154263496398926,1.4562323258360266e-07,6.899730578879826e-06,6.8499534791044425e-06
177.0,0,9.433073699938177e-08,0.0007566404528915882,0.018162131309509277,1.4533961234519666e-07,6.81953179082484e-06,6.7724909058597405e-06
178.0,0,9.440599768595348e-08,0.0007569153676740825,0.01817035675048828,1.4504337286780355e-07,6.740551270922879e-06,6.696569471387193e-06
179.0,0,9.448444870940875e-08,0.0007572030881419778,0.018178224563598633,1.4474066745151504e-07,6.662453870376339e-06,6.621792181249475e-06
180.0,1,9.45675466823559e-08,0.0007575096096843481,0.018186450004577637,1.4441563678246894e-07,6.585640676348703e-06,6.548268629558152e-06
181.0,0,9.465548345133357e-08,0.0007578356307931244,0.01819443702697754,1.4409462778530724e-07,6.509636477858294e-06,6.4759929045976605e-06
182.0,0,9.474720741309284e-08,0.000758176960516721,0.018202662467956543,1.4376728074694256e-07,6.434759143303381e-06,6.404808573279297e-06
183.0,0,9.48440614934043e-08,0.000758538895752281,0.018210530281066895,1.4342182907967072e-07,6.3609804783482105e-06,6.334990757750347e-06
184.0,0,9.494674912957635e-08,0.0007589241722598672,0.018218934535980225,1.4307137519153912e-07,6.288447366387118e-06,6.266237960517174e-06
185.0,1,9.505375686558182e-08,0.0007593266200274229,0.01822715997695923,1.427060425385207e-07,6.2167969190340955e-06,6.19842376181623e-06
186.0,0,9.516814714061184e-08,0.0007597586372867227,0.01823556423187256,1.4233971512567223e-07,6.146053692646092e-06,6.131815098342486e-06
187.0,0,9.52883283389383e-08,0.0007602137629874051,0.01824367046356201,1.4196461961546447e-07,6.076259523979388e-06,6.066362402634695e-06
188.0,0,9.541473389163002e-08,0.0007606935687363148,0.018252015113830566,1.4158999306346232e-07,6.007312094880035e-06,6.00182056587073e-06
189.0,0,9.554966595715086e-08,0.0007612072513438761,0.018260300159454346,1.412032588632428e-07,5.939283255429473e-06,5.938438789598877e-06
